video_name,audio_name,emotion,sentiment,text_sentiment,audio_sentiment,video_sentiment,text
clip_1_Cooking_1.mp4,clip_1_Cooking_1.wav,netral,netral,netral,positif,positif,Kalian belum tahu itu apa?
clip_1_Cooking_2.mp4,clip_1_Cooking_2.wav,netral,netral,netral,netral,positif,"Jadi aku bakal upload di Ins story aku, polin buat kalian pilih hari ini aku ngapain misalnya aku mau sarapan nih, aku makannya apa, cereal atau oatmeal, kalian akan milih gitu."
clip_1_Cooking_3.mp4,clip_1_Cooking_3.wav,netral,netral,positif,netral,positif,Dan aku upload di Ins story aku untuk polinya dan sekarang aku masih di Amerika jadi di Jakarta itu sekarang udah malam tapi untungnya masih ada beberapa dari kalian yang masih bangun.
clip_1_Cooking_4.mp4,clip_1_Cooking_4.wav,kebahagiaan,positif,positif,positif,positif,"Soalnya penasaran banget kalian bakal milihnya apa aja, semoga yang aku suka."
clip_1_Cooking_5.mp4,clip_1_Cooking_5.wav,kebahagiaan,positif,netral,netral,positif,"Aku mulai sarapan dari kalian, di sini aku udah upload cereal or oatmeal"
clip_1_Cooking_6.mp4,clip_1_Cooking_6.wav,kebahagiaan,positif,positif,positif,positif,"Dan mentang dari kalian yang milih, cereals! Yeah! Kalian bangun mau pengen makanan cereal, jadi untung ketika kita sehati semuanya."
clip_2_Cooking_1.mp4,clip_2_Cooking_1.wav,netral,netral,netral,netral,netral,Tentang ikan dan olahannya seperti apa.
clip_2_Cooking_2.mp4,clip_2_Cooking_2.wav,netral,netral,netral,netral,netral,"Terus yang selanjutnya juga,"
clip_2_Cooking_3.mp4,clip_2_Cooking_3.wav,netral,netral,netral,netral,positif,"ada susu, telur dan hasil olahannya."
clip_2_Cooking_4.mp4,clip_2_Cooking_4.wav,netral,netral,netral,netral,positif,"Jadi, telur itu nanti kita gambarkan,"
clip_2_Cooking_5.mp4,clip_2_Cooking_5.wav,netral,netral,netral,netral,positif,telur itu isi itu apa aja sih.
clip_2_Cooking_6.mp4,clip_2_Cooking_6.wav,netral,netral,netral,netral,negatif,Kalian kan pernah belajar waktu SMP.
clip_2_Cooking_7.mp4,clip_2_Cooking_7.wav,netral,netral,netral,netral,netral,"Itu, apa ada nama-nama telur di dalamnya itu seperti apa"
clip_2_Cooking_8.mp4,clip_2_Cooking_8.wav,netral,netral,netral,netral,netral,"Terus susu juga, nanti kita diterangkan."
clip_2_Cooking_9.mp4,clip_2_Cooking_9.wav,netral,netral,netral,netral,netral,Susu itu ada jenis-jenisnya.
clip_2_Cooking_10.mp4,clip_2_Cooking_10.wav,netral,netral,netral,netral,netral,Terus yang selanjutnya itu lemak dan minyak.
clip_2_Cooking_11.mp4,clip_2_Cooking_11.wav,netral,netral,netral,netral,netral,"Ya, lemak dan minyak."
clip_2_Cooking_12.mp4,clip_2_Cooking_12.wav,netral,netral,netral,netral,positif,Terus ada serealia dan kacang-kacangan juga.
clip_2_Cooking_13.mp4,clip_2_Cooking_13.wav,netral,netral,netral,netral,positif,Nanti apa aja sih serealia itu.
clip_2_Cooking_14.mp4,clip_2_Cooking_14.wav,netral,netral,netral,netral,positif,Apa aja sih kacang-kacangan itu.
clip_2_Cooking_15.mp4,clip_2_Cooking_15.wav,netral,netral,netral,netral,netral,Nanti kita terangkan di bab selanjutnya.
clip_2_Cooking_16.mp4,clip_2_Cooking_16.wav,netral,netral,netral,netral,positif,Terus ada sayuran dan buah-buahan juga.
clip_2_Cooking_17.mp4,clip_2_Cooking_17.wav,netral,netral,netral,netral,netral,"Terus, nah yang lebih intinya, lebih kepada pokoknya itu,"
clip_2_Cooking_18.mp4,clip_2_Cooking_18.wav,netral,netral,netral,netral,netral,"kita harus tahu di dalam pelajaran PBM itu tentang bumbu, rempah dan bahan tambahan."
clip_2_Cooking_19.mp4,clip_2_Cooking_19.wav,netral,netral,netral,netral,netral,"Jadi kalian harus tahu nih,"
clip_2_Cooking_20.mp4,clip_2_Cooking_20.wav,netral,netral,netral,netral,netral,"bumbu-bumbu yang akan digunakan di nanti masakan itu apa,"
clip_2_Cooking_21.mp4,clip_2_Cooking_21.wav,netral,netral,netral,netral,positif,"kayak misalkan,Bay Leaves, terus kita menggunakan bahasa Indonesia ya."
clip_2_Cooking_22.mp4,clip_2_Cooking_22.wav,netral,netral,netral,netral,netral,Yang istilahnya apa ya.
clip_2_Cooking_23.mp4,clip_2_Cooking_23.wav,netral,netral,netral,netral,positif,Apa namanya?
clip_2_Cooking_24.mp4,clip_2_Cooking_24.wav,netral,netral,netral,netral,positif,Kayak laja.
clip_2_Cooking_25.mp4,clip_2_Cooking_25.wav,netral,netral,netral,netral,positif,Itu laja itu apa?
clip_2_Cooking_26.mp4,clip_2_Cooking_26.wav,netral,netral,netral,netral,positif,Terus jadi kita menggunakan bahasa-bahasa
clip_3_Cooking_1.mp4,clip_3_Cooking_1.wav,kebahagiaan,positif,netral,positif,positif,"Hello assamualaikum apa kabar semuanya, cuma lagi dengan saya"
clip_3_Cooking_2.mp4,clip_3_Cooking_2.wav,netral,netral,netral,netral,netral,hari ini saya nggak masak begitu banyak menu karena majikan saya nggak ada di rumah jadi saya hanya berdua sama dengan embah saya
clip_3_Cooking_3.mp4,clip_3_Cooking_3.wav,netral,netral,netral,netral,netral,"dan hari ini saya mau masak cata kue"""""
clip_3_Cooking_4.mp4,clip_3_Cooking_4.wav,netral,netral,netral,netral,netral,"cata kue"" ini terbuat dari lobak dicampur dengan tepung beras"""
clip_3_Cooking_5.mp4,clip_3_Cooking_5.wav,netral,netral,netral,netral,netral,"terus ini sudah ada rasanya, ada sedikit asing dan gurih, cara masaknya cuma digoreng saja"
clip_3_Cooking_6.mp4,clip_3_Cooking_6.wav,netral,netral,netral,netral,netral,tapi kalau embah saya masaknya jangan terlalu kering yang gorengnya karena nanti keras
clip_3_Cooking_7.mp4,clip_3_Cooking_7.wav,netral,netral,netral,netral,netral,terus saya nanti mau makan popmie kuah pedes
clip_4_Celebrity_1.mp4,clip_4_Celebrity_1.wav,netral,netral,netral,netral,netral,Saya Shinthia dari kelompok Bailly di sini saya akan menceritakan bagaimana perjalanan kelompok kami dari awal.
clip_4_Celebrity_2.mp4,clip_4_Celebrity_2.wav,netral,netral,netral,netral,netral,"Pertama-tama kami berduga pikiran untuk menentukan bisnisnya apa yang ingin kami lakukan,"
clip_4_Celebrity_3.mp4,clip_4_Celebrity_3.wav,netral,netral,netral,netral,netral,Setelah kami menentukannya kami menentukan pasar dan target apa yang akan ingin kami capai.
clip_4_Celebrity_4.mp4,clip_4_Celebrity_4.wav,netral,netral,positif,netral,netral,Lalu kami menentukan bagaimana melakukan marketing terhadap pasar tersebut dan membuat pasar tersebut tertarik terhadap product kami.
clip_4_Celebrity_5.mp4,clip_4_Celebrity_5.wav,netral,netral,positif,netral,netral,Setelah hal itu semua tercapai maka kami akan berdiskusi untuk menentukan bagaimana cara agar product kami tetap bisa bersaing dengan product lainnya dan tidak ketinggalan oleh product-product lainnya.
clip_5_Celebrity_1.mp4,clip_5_Celebrity_1.wav,netral,netral,positif,netral,netral,Kalau dari kerja sama tim sih menurut saya kalau begitu udah bagus.
clip_5_Celebrity_2.mp4,clip_5_Celebrity_2.wav,netral,netral,netral,netral,netral,"Karena dari awal itu kita udah langsung bagi nya masing-masing, kita itu apa aja."
clip_5_Celebrity_3.mp4,clip_5_Celebrity_3.wav,netral,netral,netral,netral,netral,Dan kita langsung ngerjain jadi ada yang udah selesai duluan.
clip_5_Celebrity_4.mp4,clip_5_Celebrity_4.wav,netral,netral,positif,netral,netral,Nah dia akan membantu kami yang belum selesai mengerjakan tugas kami.
clip_5_Celebrity_5.mp4,clip_5_Celebrity_5.wav,netral,netral,positif,netral,netral,Jadi waktu itu beberapa hari itu kelompok kita udah cukup matang untuk melakukan kegiatan selama itu.
clip_5_Celebrity_6.mp4,clip_5_Celebrity_6.wav,netral,netral,positif,netral,positif,"Jadi menurut saya, kelompok kami udah bagus dalam kerja sama timnya."
clip_6_Celebrity_1.mp4,clip_6_Celebrity_1.wav,kesedihan,negatif,negatif,negatif,negatif,"Saya nggak mau, sampai apalagi sampai hidupnya sampai hancur katanya£¬ gara-gara aku, betapa meruginya saya gitu."
clip_6_Celebrity_2.mp4,clip_6_Celebrity_2.wav,kesedihan,negatif,negatif,negatif,negatif,"Bikin orang milik Allah man Allah lain, jadi hancur, apa kekuatan, nggak jadi."
clip_6_Celebrity_3.mp4,clip_6_Celebrity_3.wav,kesedihan,negatif,negatif,negatif,negatif,"Nggak mau, saya juga nggak mau menghancurkan hidupnya dia."
clip_6_Celebrity_4.mp4,clip_6_Celebrity_4.wav,kesedihan,negatif,negatif,negatif,negatif,"Saya udah menzalimi dia, itu duga."
clip_6_Celebrity_5.mp4,clip_6_Celebrity_5.wav,kesedihan,negatif,negatif,negatif,negatif,"Saya nggak mungkin bersifat seperti ini, saya nggak mungkin kebetulan ini kalau nggak ada sebab."
clip_7_Celebrity_1.mp4,clip_7_Celebrity_1.wav,netral,netral,netral,positif,positif,Kadang sendiri tergantung sih tergantung dari acara itu gimana mau mintanya berdua.
clip_7_Celebrity_2.mp4,clip_7_Celebrity_2.wav,netral,netral,netral,positif,positif,"Kadang ada yang sendiri-sendiri juga, tapi kebanyakan sih berdua karena kita kan juga ada single barang."
clip_7_Celebrity_3.mp4,clip_7_Celebrity_3.wav,kebahagiaan,positif,netral,positif,positif,"Terus, juga selain ngisi talk show, kita juga nyanyi gitu."
clip_7_Celebrity_4.mp4,clip_7_Celebrity_4.wav,kebahagiaan,positif,positif,positif,positif,"Ya, senang aja sih happy jadi kalau berdua ke mana-mana."
clip_7_Celebrity_5.mp4,clip_7_Celebrity_5.wav,netral,netral,netral,positif,positif,Jadi bisa terus barang-barang sama suami. Udah selesai shooting video klip tinggal lauchingnya aja.
clip_7_Celebrity_6.mp4,clip_7_Celebrity_6.wav,kebahagiaan,positif,positif,positif,positif,"Itu tentang kita setelah menikah itu seperti apa sih, manyambut cinta yang baru."
clip_7_Celebrity_7.mp4,clip_7_Celebrity_7.wav,kebahagiaan,positif,netral,positif,positif,Kita ketemunya juga kan di video bercerita di Youtube.
clip_7_Celebrity_8.mp4,clip_7_Celebrity_8.wav,kebahagiaan,positif,netral,positif,positif,"Dia single Lillah proyek ya di situ juga Dito nyanyi, Anisa nyanyi."
clip_7_Celebrity_9.mp4,clip_7_Celebrity_9.wav,kebahagiaan,positif,positif,positif,positif,"Kan orang-orang juga pastinya ingin, kalau, ya."
clip_7_Celebrity_10.mp4,clip_7_Celebrity_10.wav,kebahagiaan,positif,positif,positif,positif,Semuanya sudah diatur sama Allah. Jadi.
clip_7_Celebrity_11.mp4,clip_7_Celebrity_11.wav,kebahagiaan,positif,positif,positif,positif,"Jadi kita percaya Allah akan memberikan di waktu yang tepat, di waktu yang indah."
clip_7_Celebrity_12.mp4,clip_7_Celebrity_12.wav,kebahagiaan,positif,positif,positif,positif,Dan di saat kita juga berarti siap menerima tanggung jawab dalam memiliki keturunan itu. Enjoy ya.
clip_8_Celebrity_1.mp4,clip_8_Celebrity_1.wav,kebahagiaan,positif,netral,positif,positif,Saya mau sendiri aja.
clip_8_Celebrity_2.mp4,clip_8_Celebrity_2.wav,kebahagiaan,positif,netral,positif,positif,Sendiri aja.
clip_8_Celebrity_3.mp4,clip_8_Celebrity_3.wav,kebahagiaan,positif,negatif,positif,positif,Nati kalau ada artis yang sahabat saya datang untuk booth opening yang mau gajak. Kita nggak kuat bayar artis yang mahal-mahal datang ke warung saya.
clip_8_Celebrity_4.mp4,clip_8_Celebrity_4.wav,kebahagiaan,positif,negatif,positif,positif,Saya nggak kuat yang ikhlas yang artis yang ikhlas saja yang mau bantu saya gitu aja.
clip_8_Celebrity_5.mp4,clip_8_Celebrity_5.wav,kebahagiaan,positif,positif,positif,positif,Berbi ikhlas biar nggak bingun balasannya. Berbi ikhlas sama saya biasanya dia baik sama saya.
